# Find lots more stations at http://www.iheart.com,
---------------------------------------------------------------------------------,
Meine Sender,
---------------------------------------------------------------------------------,
Harmony FM,http://mp3.harmonyfm.de/harmonyfm/hqlivestream.aac
Hit Radio FFH,http://mp3.ffh.de/radioffh/hqlivestream.aac
HR1,https://dispatcher.rndfnk.com/hr/hr1/live/mp3/high
HR3,https://f121.rndfnk.com/ard/hr/hr3/live/mp3/128/stream.mp3?cid=01FBPYFJ2S8K48K92MWZXTG4PA&sid=2c5CahcmeiYyh7G1L8r2oN3ldvw&token=TSKHXeUExUwV8CVePVAb8kxfyD3wnk7Of2c323ddbG4&tvf=-_Cwz7rzsRdmMTIxLnJuZGZuay5jb20
You FM,https://dispatcher.rndfnk.com/hr/youfm/live/mp3/high
Antenne Bayern,https://stream.antenne.de/antenne/stream/mp3
Bayern 3,https://dispatcher.rndfnk.com/br/br3/live/mp3/mid
Radio Gong Würzburg,http://gong.info/gonglive
Bayern 1 Mainfranken,https://dispatcher.rndfnk.com/br/br1/mainfranken/mp3/mid
Radio Bob,http://streams.radiobob.de/bob-live/mp3-192/mediaplayer
Rock Antenne,https://stream.rockantenne.de/rockantenne/stream/mp3
Radio Hamburg,https://stream.radiohamburg.de/live/mp3-192/linkradiohamburg/
Ostseewelle,https://addrad.io/4454pjf
Antenne Thüringen,https://stream.antennethueringen.de/atmitte/mp3-192
Das Ding,https://liveradio.swr.de/d9zadj3/dasding/
Big FM,https://stream.bigfm.de/rlp/mp3-128
Eins Live,https://d121.rndfnk.com/ard/wdr/1live/live/mp3/128/stream.mp3?cid=01FBRZTS1K1TCD4KA2YZ1ND8X3&sid=2c5Ip6R77h0Xn7TZ6AOmf1JrJkE&token=xhjmyrk85urvHBKCL_FVThSPqFCOjRE1v1Q5c28L0dM&tvf=glcM5Ib2sRdkMTIxLnJuZGZuay5jb20
HR Info,https://d111.rndfnk.com/ard/hr/hrinfo/live/mp3/128/stream.mp3?cid=01FBPYRECZW4SNS714QRSDEXBQ&sid=2c5IuRxi06JkmKXhz943Pa2FWQ1&token=XJyD0FsA_MsJgSM8Dq2lx9RBrmJQli8bRdgZIicx4WA&tvf=g5Xan5D2sRdkMTExLnJuZGZuay5jb20
BR 24,https://dispatcher.rndfnk.com/br/br24/live/mp3/mid
Deutschlandradio,https://d111.rndfnk.com/ard/dlf/01/mp3/128/stream.mp3?aggregator=web&cid=01FBPWZ12X2XN8SDSMBZ7X0ZTT&sid=2c5JJ58MYW0koV2rHgpluVKTwNv&token=zEmKDh2-j-7-z6j33UX21mrwV1c58jThamlbJSMRibA&tvf=JdOZOb72sRdkMTExLnJuZGZuay5jb20
---------------------------------------------------------------------------------,
weitere Sender,
---------------------------------------------------------------------------------,
Alternative (BAGeL Radio),https://ais-sa3.cdnstream1.com/2606_128.aac
Alternative (The Alternative Project),http://c9.prod.playlists.ihrhls.com/4447/playlist.m3u8
American Roots (Boot Liquor - SomaFM),http://somafm.com/bootliquor.pls
Celtic (ThistleRadio - SomaFM),http://somafm.com/thistle.pls
Chillout (Groove Salad - SomaFM),http://somafm.com/startstream=groovesalad.pls
Groove Salad Classic (Early 2000s Ambient),https://somafm.com/gsclassic.pls
n5MD Radio (Ambient and Experimental),https://somafm.com/n5md.pls
Vaporwaves [SomaFM],https://somafm.com/vaporwaves.pls
Commodore 64 Remixes (Slay Radio),http://www.slayradio.org/tune_in.php/128kbps/listen.m3u
Covers (SomaFM),http://somafm.com/covers.pls
Downtempo (Secret Agent - SomaFM),http://somafm.com/secretagent.pls
Dub Step (Dub Step Beyond - SomaFM),http://somafm.com/dubstep.pls
Electronic/Dance (Electronic Culture),http://www.shouted.fm/tunein/electro-dsl.m3u
Folk (Folk Forward - SomaFM),http://somafm.com/folkfwd.pls
Hip Hop (Hot 97 NYC),http://playerservices.streamtheworld.com/pls/WQHTAAC.pls
Hip Hop (Power 1051 NYC),http://c11.prod.playlists.ihrhls.com/1481/playlist.m3u8
House (Beat Blender - SomaFM),http://somafm.com/startstream=beatblender.pls
Indie Pop (Indie Pop Rocks! - SomaFM),http://somafm.com/indiepop130.pls
Intelligent dance music (Cliq Hop - SomaFM),http://somafm.com/startstream=cliqhop.pls
Jazz (Sonic Universe - SomaFM),http://somafm.com/startstream=sonicuniverse.pls
Lounge (Illinois Street Lounge - SomaFM),http://somafm.com/illstreet.pls
The Trip: [SomaFM],https://somafm.com/thetrip.pls
Pop (PopTron! - SomaFM),http://somafm.com/poptron.pls
Pop/Rock/Urban  (Frequence 3 - Paris) ,http://streams.frequence3.net/hd-mp3.m3u
Progressive (Tags Trance Trip - SomaFM),http://somafm.com/tagstrance.pls
Public Radio (NPR National Public Radio Stream),https://npr-ice.streamguys1.com/live.mp3
Reggae Dancehall (Ragga Kings),https://raggakings.radio:8443/stream.ogg
Heavyweight Reggae,https://somafm.com/reggae.pls
Rock (Digitalis - SomaFM),http://somafm.com/digitalis.pls
Vox Noctem: Rock-Goth, http://r2d2.voxnoctem.de:8000/voxnoctem.mp3
Beyond Metal (Progressive - Symphonic),http://streamingV2.shoutcast.com/BeyondMetal
Metal Detector,https://somafm.com/metal.pls
DanceUK,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk2.internet-radio.com:8024/listen.pls&t=.pls
JazzGroove,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://199.180.72.2:8015/listen.pls?sid=1&t=.pls
Radio Paradise - Main Mix,http://stream.radioparadise.com/aac-128
Radio Paradise - Mellow Mix,http://stream.radioparadise.com/mellow-128
Radio Paradise - Rock Mix,http://stream.radioparadise.com/rock-128
Radio Paradise - Eclectic Mix,http://stream.radioparadise.com/eclectic-128
Echoes of Bluemars,http://streams.echoesofbluemars.org:8000/bluemars.m3u
Echoes of Bluemars - Cryosleep,http://streams.echoesofbluemars.org:8000/cryosleep.m3u
Echoes of Bluemars - Voices from Within,http://streams.echoesofbluemars.org:8000/voicesfromwithin.m3u
Synphaera Radio (Space Music),https://somafm.com/synphaera.pls
